COMID,terminal_COMID
1737654,1737140
1738074,1737140
1737666,1737140
1737660,1737140
1738010,1737140
1737668,1737140
1737662,1737140
1735628,1737140
1735666,1737140
1735700,1737140
1735704,1737140
1735710,1737140
1735706,1737140
1735748,1737140
1735716,1737140
1735734,1737140
1737254,1737140
1735810,1737140
1735768,1737140
1735820,1737140
1735816,1737140
1735832,1737140
1735846,1737140
1735840,1737140
1736612,1737140
1735806,1737140
1736842,1737140
1735708,1737140
1736794,1737140
1735622,1737140
1735692,1737140
1735636,1737140
1732872,1737140
1733642,1737140
1733578,1737140
1733554,1737140
1732700,1737140
1732542,1737140
1732590,1737140
1732614,1737140
1732618,1737140
1732620,1737140
1732598,1737140
1733532,1737140
1732670,1737140
1733560,1737140
1733550,1737140
1732740,1737140
1732678,1737140
1732650,1737140
1732570,1737140
1733496,1737140
1733508,1737140
1733528,1737140
1732516,1737140
1732576,1737140
1734266,1737140
1733516,1737140
1732648,1737140
1732722,1737140
1732788,1737140
1733592,1737140
1732830,1737140
1732828,1737140
1733596,1737140
1733594,1737140
1732826,1737140
1733600,1737140
1733612,1737140
1732890,1737140
1732844,1737140
1732932,1737140
1732904,1737140
1734304,1737140
1732934,1737140
1733656,1737140
1735524,1737140
1736584,1737140
1735730,1737140
1735756,1737140
1735726,1737140
1735694,1737140
1732822,1737140
1732806,1737140
1732688,1737140
1732790,1737140
1732770,1737140
1732748,1737140
1732698,1737140
1732868,1737140
1733610,1737140
1732752,1737140
1732684,1737140
1732682,1737140
1732754,1737140
1732892,1737140
1733638,1737140
1732840,1737140
1732832,1737140
1732764,1737140
1734622,1737140
1732746,1737140
1733606,1737140
1733640,1737140
1733652,1737140
1733632,1737140
1734690,1737140
1732902,1737140
1734670,1737140
1734666,1737140
1734668,1737140
1734664,1737140
1732922,1737140
1733644,1737140
1735546,1737140
1732946,1737140
1736538,1737140
1735600,1737140
1735602,1737140
1735596,1737140
1735610,1737140
1736790,1737140
1735598,1737140
1736540,1737140
1737284,1737140
1732936,1737140
1735566,1737140
1735536,1737140
1735614,1737140
1737172,1737140
1735558,1737140
1736552,1737140
1735648,1737140
1735582,1737140
1735584,1737140
1736694,1737140
1736738,1737140
1732774,1737140
1732762,1737140
1733522,1737140
1732550,1737140
1732462,1737140
1732596,1737140
1733540,1737140
1732638,1737140
1732504,1737140
1732486,1737140
1732488,1737140
1732728,1737140
1734216,1737140
1733556,1737140
1733576,1737140
1733626,1737140
1733628,1737140
1734306,1737140
1734296,1737140
1733580,1737140
1732810,1737140
1732816,1737140
1732920,1737140
1735554,1737140
1732926,1737140
1735580,1737140
1732924,1737140
1732838,1737140
1734234,1737140
1734230,1737140
1734220,1737140
1732802,1737140
1732608,1737140
1732662,1737140
1732556,1737140
1732512,1737140
1733472,1737140
1732432,1737140
1732474,1737140
1734294,1737140
1732384,1737140
1732362,1737140
1732364,1737140
1732424,1737140
1732452,1737140
1733458,1737140
1732466,1737140
1732464,1737140
1732644,1737140
1732676,1737140
1734196,1737140
1733512,1737140
1732518,1737140
1733498,1737140
1732372,1737140
1732374,1737140
1732348,1737140
1732346,1737140
1732356,1737140
1732494,1737140
1732476,1737140
1732352,1737140
1732442,1737140
1732334,1737140
1734004,1737140
1734002,1737140
1743112,1737140
1732306,1737140
1732288,1737140
1732370,1737140
1734044,1737140
1734048,1737140
1732444,1737140
1733438,1737140
1732358,1737140
1733422,1737140
1733520,1737140
1734096,1737140
1734098,1737140
1734116,1737140
1732558,1737140
1734118,1737140
1732654,1737140
1732730,1737140
1732766,1737140
1732796,1737140
1733562,1737140
1732642,1737140
1732690,1737140
1734170,1737140
1733542,1737140
1734184,1737140
1734186,1737140
1732798,1737140
1732780,1737140
1732812,1737140
1733590,1737140
1732738,1737140
1732750,1737140
1734176,1737140
1743124,1737140
1732714,1737140
1734206,1737140
1734222,1737140
1732820,1737140
1732894,1737140
1734240,1737140
1734238,1737140
1736578,1737140
1735702,1737140
1735664,1737140
1736556,1737140
1736680,1737140
1735688,1737140
1735606,1737140
1735594,1737140
1735574,1737140
1735572,1737140
1732908,1737140
1732916,1737140
1732900,1737140
1732884,1737140
1732882,1737140
1733588,1737140
1735532,1737140
1733624,1737140
1736542,1737140
1732896,1737140
1737282,1737140
1735570,1737140
1733650,1737140
1734236,1737140
1736760,1737140
1735670,1737140
1736732,1737140
1736734,1737140
1735626,1737140
1735646,1737140
1735634,1737140
1736710,1737140
1736704,1737140
1736716,1737140
1736702,1737140
1736726,1737140
1736718,1737140
1735658,1737140
1737240,1737140
1735656,1737140
1735624,1737140
1737266,1737140
1736700,1737140
1737170,1737140
1736572,1737140
1736724,1737140
1735728,1737140
1735760,1737140
1735818,1737140
1735824,1737140
1736614,1737140
1736620,1737140
1736606,1737140
1735828,1737140
1735814,1737140
1735776,1737140
1736590,1737140
1736594,1737140
1736598,1737140
1735786,1737140
1736616,1737140
1737200,1737140
1737178,1737140
1735860,1737140
1736838,1737140
1735866,1737140
1735876,1737140
1737174,1737140
1735884,1737140
1737176,1737140
1735864,1737140
1735882,1737140
1735908,1737140
1736624,1737140
1735878,1737140
1735888,1737140
1735928,1737140
1735926,1737140
1735940,1737140
1736640,1737140
1735916,1737140
1737180,1737140
1735858,1737140
1735774,1737140
1736812,1737140
1735822,1737140
1735792,1737140
1736630,1737140
1735910,1737140
1735890,1737140
1735886,1737140
1735944,1737140
1735930,1737140
1735984,1737140
1736008,1737140
1736034,1737140
1735994,1737140
1736014,1737140
1743094,1737140
1736998,1737140
1735980,1737140
1735996,1737140
1736066,1737140
1736012,1737140
1736036,1737140
1736988,1737140
1737002,1737140
1736086,1737140
1737016,1737140
1736084,1737140
1736104,1737140
1736144,1737140
1737048,1737140
1736214,1737140
1737088,1737140
1737104,1737140
1736234,1737140
1737116,1737140
1739550,1737140
1739552,1737140
1737918,1737140
1734904,1737140
1737922,1737140
1734914,1737140
1733572,1737140
1734046,1737140
1734226,1737140
1736374,1737140
1743046,1737140
1738626,1737140
1736406,1737140
1736412,1737140
1738628,1737140
1736408,1737140
1736410,1737140
1736390,1737140
1736758,1737140
1736762,1737140
1736786,1737140
1743022,1737140
1743020,1737140
1735950,1737140
1737268,1737140
1737246,1737140
1736792,1737140
1736942,1737140
1736938,1737140
1737292,1737140
1737294,1737140
1738092,1737140
1739548,1737140
1737900,1737140
1734194,1737140
1734198,1737140
1734208,1737140
1742990,1737140
1734210,1737140
1734228,1737140
1734218,1737140
1736690,1737140
1735784,1737140
1736860,1737140
1736840,1737140
1737022,1737140
1737032,1737140
1737044,1737140
1743026,1737140
1736692,1737140
1743068,1737140
1736828,1737140
1736818,1737140
1736814,1737140
1737934,1737140
1737082,1737140
1737050,1737140
1736862,1737140
1736834,1737140
1743002,1737140
1736580,1737140
1736600,1737140
1736696,1737140
1734244,1737140
1734232,1737140
1734242,1737140
1736686,1737140
1734066,1737140
1736534,1737140
1743054,1737140
1733654,1737140
1737262,1737140
1737250,1737140
1737936,1737140
1739776,1737140
1739544,1737140
1738094,1737140
1737642,1737140
1737248,1737140
1734774,1737140
1734762,1737140
1738084,1737140
1734952,1737140
1736744,1737140
1736746,1737140
1736742,1737140
1736748,1737140
1737270,1737140
1735678,1737140
1735650,1737140
1735672,1737140
1736740,1737140
1736730,1737140
1737244,1737140
1736916,1737140
1736920,1737140
1736922,1737140
1736926,1737140
1736930,1737140
1736932,1737140
1736948,1737140
1736952,1737140
1736954,1737140
1736960,1737140
1736968,1737140
1736970,1737140
1736972,1737140
1736974,1737140
1736976,1737140
1734052,1737140
1734064,1737140
1734070,1737140
1734082,1737140
1734088,1737140
1734090,1737140
1743116,1737140
1743118,1737140
1736770,1737140
1736772,1737140
1736774,1737140
1736776,1737140
1736784,1737140
1736728,1737140
1736750,1737140
1737286,1737140
1737288,1737140
1737290,1737140
1736764,1737140
1736766,1737140
1736768,1737140
1736778,1737140
1736796,1737140
1736798,1737140
1736800,1737140
1736810,1737140
1736824,1737140
1734246,1737140
1734300,1737140
1743126,1737140
1734922,1737140
1734926,1737140
1734928,1737140
1734930,1737140
1734932,1737140
1734934,1737140
1734936,1737140
1734954,1737140
1743110,1737140
1736944,1737140
1736946,1737140
1736950,1737140
1736910,1737140
1736912,1737140
1736914,1737140
1736918,1737140
1736924,1737140
1738088,1737140
1738090,1737140
1738058,1737140
1738060,1737140
1738062,1737140
1738048,1737140
1738050,1737140
1738054,1737140
1736836,1737140
1736844,1737140
1736846,1737140
1736848,1737140
1736850,1737140
1736852,1737140
1736854,1737140
1737252,1737140
1743076,1737140
1736866,1737140
1736872,1737140
1736874,1737140
1736880,1737140
1736882,1737140
1736888,1737140
1736978,1737140
1736980,1737140
1736982,1737140
166173468,1737140
166173473,1737140
166173474,1737140
1737140,1737140
1736286,1736286
1736286,1736286
1736290,1736290
1736290,1736290
1736338,1736338
1736338,1736338
1736350,1736350
1736396,1736350
1736384,1736350
1736350,1736350
1736328,166173479
1736324,166173479
1736356,166173479
1736354,166173479
1736326,166173479
1743040,166173479
1743042,166173479
1743044,166173479
166173479,166173479
166173480,166173479
166173481,166173479
166173479,166173479
2682820,2682820
2682820,2682820
2682856,2682856
2682846,2682856
2682842,2682856
2682814,2682856
2682848,2682856
